model,model_label,ablation,horizon,task,kpi,is_primary_kpi,mae,rmse,mape_floor1_pct,runnable_status
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,ERAB_Setup_Failure_Times,0,5.086631018970779,14.024508969589276,137.13057837749236,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,HI Failure Times,0,5.201971312385384,9.40761473780927,85.8048262602727,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,HI Succ Rate(%),0,3.395651664272857,9.392350296906761,84.61368039624129,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,HI Succ Times,0,147.62312877772973,379.96908488120204,238.23239473392795,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,IRATHO(E2W or E2G) Succ Times,0,0.004405911856393535,0.01538086537388411,0.4405911856393535,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,InterFreq HO Failure Times,0,0.6528612938075483,1.512861664565939,48.50861072727278,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,InterFreq HO Succ Rate(%),0,3.2026115510315454,9.713051601245486,92.19185938045594,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,InterFreq HO Succ Times,0,63.249210175586036,143.86440328442185,128.5926710141214,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,IntraFreq HO Failure Times,0,1.1663697799825006,2.046696290781397,56.55887342901117,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,IntraFreq HO Succ Rate(%),0,3.570057199146654,10.57683904817703,115.19503643225787,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,IntraFreq HO Succ Times,0,104.06256034901645,235.80904296865387,239.67878952286736,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,L.MeasRpts.RSRP.Index0~2 (RSRP<-110dbm)  Ratio (%),0,3.4560183612831232,5.943461080703767,69.61542213470813,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,L.UL.Interference.Avg(dBm),0,0.4906621334412549,0.691565386397183,0.42994939344642924,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_DL CCE Allocation Failure Rate(%),0,0.32430838308643434,0.5515379978875791,18.924675705931644,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_DL PRB Utilizing Rate(%),1,4.929396821758963,6.629297644188623,27.306466806035317,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_DL Traffic Volume(GB),0,0.49076372590744444,0.7718050770003598,22.75221586531416,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_UL PRB Utilizing Rate(%),1,1.8193800391096222,2.7111805246159753,10.763203293762649,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_UL Traffic Volume(GB),0,0.06483914181092079,0.12200271573443598,6.298041773500033,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_User DL Average Throughput(Mbps),1,2.7090465748311487,4.790757617454613,44.12424695614344,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,LTE_User UL Average Throughput(Mbps),1,0.5869847227428253,1.0012802405591605,26.149465759624334,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,RRC Conn Users Avg,0,2.4182512670665655,3.762723313575571,27.241523116606764,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,RRC ReEst Succ Rate(%),0,11.696457683621832,18.20721028428508,255.6888586182518,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,RRC Setup Success Rate(%),1,3.4127035712478038,10.227963101652536,102.12552328796708,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,RRC_ReEst_Failure_Times,0,5.90094324877468,9.929957167380481,94.13403393325912,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,RRC_Setup_Att_Times,0,228.15082646642531,357.154859315957,354.81305866256184,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,RRC_Setup_Failure_Times,0,1.8821461235137975,3.8064686840338777,82.3307676480463,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Rach Dedicate Preamble Att Times,0,480.5015394106669,940.9294564977189,535.1390942963785,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Rach GroupA Preamble Att Times,0,300.60930823674045,506.314750585346,440.03281264984935,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,Rach GroupB Preamble Att Times,0,67.96358219399389,205.0089576678399,205.47349397419467,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,S1Sig Setup Success Rate(%),0,3.345925278259339,10.220871915815424,102.39215915477206,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,TAlessthan1ratio(300m),0,4.641142142509549,7.612281884460512,60.886266984806824,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,UL Activated Users Avg,0,0.18487671283675325,0.28686791742614387,13.741497029975335,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,UL IBLER,0,2.1165541061872313,4.204072208923787,29.935799565189814,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,1,forecasting,UL MCS AVG,0,1.5286791020547867,2.4991721371516666,23.453541185616224,run
