model,model_label,ablation,horizon,task,metric,value,label_type,runnable_status
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,all_kpi_rmse,102.72980173986303,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,3,forecasting,all_kpi_mape_floor1_pct,125.31675910266273,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,primary_mae,4.634633666574561,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,primary_rmse,8.325636853654714,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,primary_mape_floor1_pct,82.77637863745555,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,all_kpi_mae,164.6452772062619,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,all_kpi_rmse,289.40130356240155,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,3,forecasting,all_kpi_mape_floor1_pct,466.66278368644896,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,primary_mae,4.5809262631652565,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,primary_rmse,8.038487809325183,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,primary_mape_floor1_pct,82.51493224834206,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,all_kpi_mae,159.7121929831709,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,all_kpi_rmse,227.2519978725336,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,3,forecasting,all_kpi_mape_floor1_pct,466.87061671386596,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,primary_mae,3.0709296352266517,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,primary_rmse,5.68416339869507,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,primary_mape_floor1_pct,56.381542022440264,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,all_kpi_mae,50.71913424833748,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,all_kpi_rmse,93.62610120161756,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,3,forecasting,all_kpi_mape_floor1_pct,163.5088355509566,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,primary_mae,3.036113249845673,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,primary_rmse,5.5858045214693,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,primary_mape_floor1_pct,56.01457415461753,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,all_kpi_mae,48.93538693214564,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,all_kpi_rmse,78.7454075614108,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,3,forecasting,all_kpi_mape_floor1_pct,162.59101393202872,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,primary_mae,3.1446947701667414,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,primary_rmse,5.6051736725553765,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,primary_mape_floor1_pct,56.843142830102366,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,all_kpi_mae,50.7870953271935,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,all_kpi_rmse,82.16491862874177,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,6,forecasting,all_kpi_mape_floor1_pct,183.28180607412415,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,primary_mae,3.1904485593175256,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,primary_rmse,5.864402568859186,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,primary_mape_floor1_pct,57.28399594506425,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,all_kpi_mae,54.45092988532843,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,all_kpi_rmse,133.8706501480968,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,6,forecasting,all_kpi_mape_floor1_pct,183.66996609091865,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,primary_mae,3.19700466684475,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,primary_rmse,5.852670239265109,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,primary_mape_floor1_pct,57.263585140684846,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,all_kpi_mae,54.401399347085466,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,all_kpi_rmse,132.26500065036794,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,6,forecasting,all_kpi_mape_floor1_pct,185.28339166280432,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,primary_mae,3.197004694088823,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,primary_rmse,5.8526703410420104,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,primary_mape_floor1_pct,57.263584742526255,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,all_kpi_mae,54.40139940023781,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,all_kpi_rmse,132.26500205946638,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,6,forecasting,all_kpi_mape_floor1_pct,185.28338983127819,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,primary_mae,3.3630788285337534,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,primary_rmse,6.052988261462501,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,primary_mape_floor1_pct,61.59156628939228,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,all_kpi_mae,65.45165182055655,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,all_kpi_rmse,131.98295140896144,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,6,forecasting,all_kpi_mape_floor1_pct,234.38952898863187,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,primary_mae,3.197055271029092,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,primary_rmse,5.852714542730562,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,primary_mape_floor1_pct,57.26377951956528,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,all_kpi_mae,54.40039464373714,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,all_kpi_rmse,132.263576719651,real_kpi,run
cet_stgl_sklearn,CET-STGL-sklearn,full_proxy,6,forecasting,all_kpi_mape_floor1_pct,185.2803085230852,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,primary_mae,4.6286813532279325,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,primary_rmse,8.27688998860451,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,primary_mape_floor1_pct,83.11703181423673,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,all_kpi_mae,164.84985376781742,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,all_kpi_rmse,295.9309682386844,real_kpi,run
event_attention_only,Event-attention-only,event_only_baseline,6,forecasting,all_kpi_mape_floor1_pct,468.01833168494227,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,primary_mae,4.578480018552149,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,primary_rmse,7.87346023617161,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,primary_mape_floor1_pct,82.87068136313326,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,all_kpi_mae,159.50171845893496,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,all_kpi_rmse,225.57204717800417,real_kpi,run
hawkes_only,Hawkes-only,event_only_baseline,6,forecasting,all_kpi_mape_floor1_pct,470.5357859289517,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,primary_mae,3.3379574924309603,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,primary_rmse,5.940216815213597,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,primary_mape_floor1_pct,61.59041231642826,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,all_kpi_mae,65.1004571444643,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,all_kpi_rmse,118.31712657469546,real_kpi,run
ridge_logistic,Ridge/Logistic,baseline,6,forecasting,all_kpi_mape_floor1_pct,232.88818944857752,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,primary_mae,3.317682598037564,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,primary_rmse,5.88376405788334,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,primary_mape_floor1_pct,61.27221280386902,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,all_kpi_mae,62.62076453945257,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,all_kpi_rmse,97.57289692495937,real_kpi,run
ridge_logistic_no_alarm,Ridge/Logistic w/o alarms,baseline_no_alarm,6,forecasting,all_kpi_mape_floor1_pct,231.68933822249923,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,primary_mae,2.5147421488540136,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,primary_rmse,5.050755449901819,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,primary_mape_floor1_pct,47.28302135514121,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,all_kpi_mae,42.069895762311056,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,all_kpi_rmse,74.86364319731392,real_kpi,run
cet_ablation_no_alarm,CET w/o alarm tokens,no_alarm,12,forecasting,all_kpi_mape_floor1_pct,132.59929066463454,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,primary_mae,2.603973118573526,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,primary_rmse,5.452831839768926,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,primary_mape_floor1_pct,47.78326162438929,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,all_kpi_mae,46.25468628377866,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,all_kpi_rmse,127.16820785259692,real_kpi,run
cet_ablation_no_cross_cell_graph,CET w/o cross-cell graph,no_cross_cell_graph,12,forecasting,all_kpi_mape_floor1_pct,134.90700952975854,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,primary_mae,2.6040699438305284,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,primary_rmse,5.4420601076085555,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,primary_mape_floor1_pct,47.68198028682617,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,all_kpi_mae,46.45621797205323,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,all_kpi_rmse,126.08026779961892,real_kpi,run
cet_ablation_no_dynamic_graph,CET w/o dynamic event graph,no_dynamic_graph,12,forecasting,all_kpi_mape_floor1_pct,136.30986332566295,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,primary_mae,2.6040699459420242,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,primary_rmse,5.442060029508175,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,primary_mape_floor1_pct,47.68198043641702,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,all_kpi_mae,46.45621828406565,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,all_kpi_rmse,126.08026647026536,real_kpi,run
cet_ablation_no_hawkes_intensity,CET w/o Hawkes intensity,no_hawkes_intensity,12,forecasting,all_kpi_mape_floor1_pct,136.30986579646128,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,forecasting,primary_mae,2.6796243591639914,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,forecasting,primary_rmse,5.547237309785081,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,forecasting,primary_mape_floor1_pct,49.061869871159274,real_kpi,run
cet_ablation_no_tokenization,CET w/o tokenization,no_tokenization,12,forecasting,all_kpi_mae,47.863789787926144,real_kpi,run
